movie_id:string:ID,title:string,district:string,composer:string,showtime:string
"26140241","咱们结婚吧","China_中国大陆","刘江,王红卫,王宇,徐楠","2015.0"
"7003416","冲上云霄","China_香港,China_中国大陆","邹凯光,冼子文,许岚枫","2015.0"
"25779218","匆匆那年","China_中国大陆","李晗,刘晗,九夜茴","2014.0"
"3089638","塞尔玛","United Kingdom_英国,United States of America_美国","Paul Webb","2014.0"
"10793610","法老与众神","United Kingdom_英国,United States of America_美国,Spain_西班牙","斯蒂文·泽里安,亚当·库珀,比尔·科拉奇,杰弗里·凯恩","2014.0"
"10546762","魔法黑森林","United States of America_美国,United Kingdom_英国,Canada_加拿大","詹姆斯·拉派恩,史蒂芬·桑德海姆","2014.0"
"26356488","1944","Estonia_爱沙尼亚","Leo Kunnas","2015.0"
"25919529","烈性摔跤","South Korea_韩国","金豪俊","2014.0"
"26383523","再见我们的十年","China_中国大陆","孙浩,高了,王一骜","2015.0"
"3319744","法国战恋曲","United Kingdom_英国,France_法国,Canada_加拿大","索尔·迪勃,Irène Némirowsky,Matt Charman","2014.0"
"24751757","微爱之渐入佳境","China_中国大陆","顾伟","2014.0"
"25798854","真幌站前狂想曲","Japan_日本","大森立嗣,黑住光,三浦紫苑","2014.0"
"25845383","青春之旅 真人版","Japan_日本","吉田智子,咲坂伊緒(原作)","2014.0"
"25728008","潜伏3","United States of America_美国","雷·沃纳尔","2015.0"
"10508874","布拉芙夫人","South Korea_韩国","Yoon-mi Jang,任弼星","2014.0"
"25838216","花宵道中","Japan_日本","宮木あや子","2014.0"
"21349345","移动迷宫","United States of America_美国,Canada_加拿大,United Kingdom_英国","诺亚·奥本海姆,格兰特·迈尔斯,T·S·诺林,詹姆斯·达什纳","2014.0"
"21977761","暗夜逐仇","United States of America_美国","布拉德·英格尔斯比","2015.0"
"20283482","生命之书","United States of America_美国","Jorge R. Gutierrez,Douglas Langdale","2014.0"
"25853073","近距离恋爱","Japan_日本","みきもと凜（原著）","2014.0"
"10546665","真实故事","United States of America_美国","Michael Finkel,鲁伯特·古尔德","2015.0"
"25818615","纸之月","Japan_日本","早船歌江子,角田光代(原作)","2014.0"
"5432221","性本恶","United States of America_美国","保罗·托马斯·安德森,托马斯·品钦","2014.0"
"24743712","有种你爱我","China_中国大陆","李欣蔓,张耀之","2015.0"
"24845116","浪客剑心：传说的完结篇","Japan_日本","和月伸宏","2014.0"
"26310932","玩命警车","United States of America_美国","乔恩·沃茨,克里斯托弗·D·福特 Christopher D. Ford","2015.0"
"10440069","丹尼·科林斯","United States of America_美国","丹·福格尔曼","2015.0"
"25809101","涉外大饭店2","United States of America_美国,United Kingdom_英国","欧·帕克","2015.0"
"25819726","高手们","South Korea_韩国","金亮中,金洪宣,朴素贤","2015.0"
"22637441","不死鸟","Germany_德国,Poland_波兰","克利斯蒂安·佩措尔德,哈伦·法罗基,Hubert Monteilhet","2014.0"
"11810348","马达加斯加的企鹅","United States of America_美国","约翰·阿布德,迈克尔·科尔顿,埃里克·达尼尔,汤姆·麦格拉思,布兰登·索耶","2014.0"
"26588820","乐高DC超级英雄：正义联盟之末日军团的进攻","United States of America_美国","Jim Krieg","2015.0"
"25788954","鞋匠人生","United States of America_美国","托马斯·麦卡锡,Paul Sado","2014.0"
"6858224","人体蜈蚣3","United States of America_美国","汤姆·希克斯","2015.0"
"25856577","朝我心脏开枪","South Korea_韩国","郑柚井","2015.0"
"26271893","12金鸭","China_香港","邹凯光","2015.0"
"25772380","哥本哈根","Canada_加拿大,United States of America_美国,Denmark_丹麦","Mark Raso","2014.0"
"23767433","年鉴计划","United States of America_美国","Andrew Deutschman","2014.0"
"21348445","女孩闺房","Canada_加拿大","Nick Gordon","2014.0"
"25774051","寄生兽：完结篇","Japan_日本","山崎贵,古泽良太,岩明均","2015.0"
"4881607","撒娇女人最好命","China_中国大陆,China_香港","彭浩翔,陆以心,张优优,罗曼夫","2014.0"
"25871647","娚的一生","Japan_日本","西炯子(原作)","2015.0"
"25798131","疾速追杀","United States of America_美国","德里克·科尔斯塔","2014.0"
"6516595","阁楼","United States of America_美国,Belgium_比利时","韦斯利·斯崔克,Bart De Pauw","2014.0"
"26361257","正义联盟：神魔之战","United States of America_美国","Alan Burnett","2015.0"
"20253940","白幽灵传奇之绝命逃亡","China_中国大陆,Canada_加拿大,France_法国,United States of America_美国,United Kingdom_英国","詹姆斯·多默","2015.0"
"26356495","女狙击手","Russia_俄罗斯,Ukraine_乌克兰","Maxim Budarin,Maxim Dankevich,Leonid Korin,Egor Olesov","2015.0"
"22994771","封门诡影","China_中国大陆","温河,王孟圆,万超","2015.0"
"25767613","恋爱的味道","South Korea_韩国","","2015.0"
"25824853","全力扣杀","China_香港,China_中国大陆","郭子健,钱人豪","2015.0"
"4845723","死亡录像4：启示录","Spain_西班牙","Manu Díez,豪梅·巴拿盖鲁","2014.0"
"25892603","沼泽地","Spain_西班牙","阿尔伯特·罗德里格斯,Rafael Cobos","2014.0"
"25742242","深夜前的五分钟","China_中国大陆","堀泉杏","2014.0"
"25856626","极秘搜查","South Korea_韩国","郭暻泽","2015.0"
"25790755","隐秘的诱惑","South Korea_韩国","尹宰久","2015.0"
"24723061","魁拔Ⅲ战神崛起","China_中国大陆","王鹏展,王川","2014.0"
"25834457","偷狗的完美方法","South Korea_韩国","Barbara O'Connor","2014.0"
"25827399","别惹德州","United States of America_美国","David Feeney,John Quaintance","2015.0"
"4154632","一万年以后","China_中国大陆","易立,陈景形,聂盛杰,刘勇","2015.0"
"25880244","一路惊喜","China_中国大陆","金依萌,张艺凡","2015.0"
"25834473","我的早更女友","China_中国大陆","曹金玲,宝卿,严苏倩","2014.0"
"25831308","露水红颜","China_中国大陆","王九九,郭梦昕","2014.0"
"25984795","京城学校：消失的少女们","South Korea_韩国","李海暎","2015.0"
"25750177","福福庄的阿福","Japan_日本","藤田容介","2014.0"
"26378296","年轻母亲3：我年纪如何","South Korea_韩国","Myeong Kye-nam (명계남)","2015.0"
"26382849","恋爱排班表","China_中国大陆,China_台湾","丁乃筝","2015.0"
"3317370","定制伴郎","United States of America_美国","杰里米·加尔利,Jay Lavender","2015.0"
