director_id:string:START_ID,:START_LABEL,movie_id:string:END_ID,:END_LABEL,:TYPE,year:string
"安迪·汉密尔顿 ","director","24695390","movie","DIRECT","2014.0"
" 盖·简金","director","24695390","movie","DIRECT","2014.0"
"安东尼·福奎阿","director","3012013","movie","DIRECT","2014.0"
"格伦·费卡拉 ","director","20277433","movie","DIRECT","2015.0"
" 约翰·里夸","director","20277433","movie","DIRECT","2015.0"
"弗朗索瓦·欧容","director","25755608","movie","DIRECT","2014.0"
"入江悠","director","25806476","movie","DIRECT","2015.0"
"蒂姆·波顿","director","3006769","movie","DIRECT","2014.0"
"艾伦·瑞克曼","director","21349301","movie","DIRECT","2014.0"
"谢立文 ","director","25884416","movie","DIRECT","2014.0"
" 李俊民","director","25884416","movie","DIRECT","2014.0"
"Mary Agnes Donoghue","director","25761564","movie","DIRECT","2015.0"
"刘江","director","26140241","movie","DIRECT","2015.0"
"叶伟信 ","director","7003416","movie","DIRECT","2015.0"
" 邹凯光","director","7003416","movie","DIRECT","2015.0"
"张一白","director","25779218","movie","DIRECT","2014.0"
"艾娃·德约列","director","3089638","movie","DIRECT","2014.0"
"雷德利·斯科特","director","10793610","movie","DIRECT","2014.0"
"罗伯·马歇尔","director","10546762","movie","DIRECT","2014.0"
"Elmo Nüganen","director","26356488","movie","DIRECT","2015.0"
"金豪俊","director","25919529","movie","DIRECT","2014.0"
"孙浩","director","26383523","movie","DIRECT","2015.0"
"索尔·迪勃","director","3319744","movie","DIRECT","2014.0"
"顾长卫","director","24751757","movie","DIRECT","2014.0"
"大森立嗣","director","25798854","movie","DIRECT","2014.0"
"三木孝浩","director","25845383","movie","DIRECT","2014.0"
"雷·沃纳尔","director","25728008","movie","DIRECT","2015.0"
"任弼星","director","10508874","movie","DIRECT","2014.0"
"丰岛圭介","director","25838216","movie","DIRECT","2014.0"
"韦斯·鲍尔","director","21349345","movie","DIRECT","2014.0"
"佐米·希尔拉","director","21977761","movie","DIRECT","2015.0"
"Jorge R. Gutierrez","director","20283482","movie","DIRECT","2014.0"
"熊泽尚人","director","25853073","movie","DIRECT","2014.0"
"鲁伯特·古尔德","director","10546665","movie","DIRECT","2015.0"
"吉田大八","director","25818615","movie","DIRECT","2014.0"
"保罗·托马斯·安德森","director","5432221","movie","DIRECT","2014.0"
"李欣蔓","director","24743712","movie","DIRECT","2015.0"
"大友启史","director","24845116","movie","DIRECT","2014.0"
